model,mode,top1_ratio,top5_ratio,top10_ratio,top20_ratio,spectrum_entropy,normalized_PR
bert_base,centered,0.1438798289746046,0.3795353788882494,0.4991731755435467,0.6188229061663151,4.309650868177414,0.037700392538681626
bert_base,l2norm,0.8210045695304871,0.8759317994117737,0.9002179577946663,0.9239851236343384,1.2586163580417633,0.001958863009349443
bert_base,raw,0.813834123313427,0.8722911030054092,0.8976747244596481,0.922318696975708,1.294335424900055,0.0019957106560468674
bge_large,centered,0.046615129336714745,0.1519547449424863,0.22397775016725063,0.3139348477125168,5.551978886127472,0.11736136814579368
bge_large,l2norm,0.5280076041817665,0.5874386131763458,0.6248187236487865,0.6691122725605965,3.3089185655117035,0.0037992160068824887
bge_large,raw,0.5280075892806053,0.5874385945498943,0.6248187124729156,0.6691122576594353,3.3089184761047363,0.003799216210609302
bge_small,centered,0.047776931431144476,0.16655471175909042,0.2476554661989212,0.34872863814234734,5.251524567604065,0.26100045908242464
bge_small,l2norm,0.558147981762886,0.6202065646648407,0.6597264185547829,0.7063781693577766,3.0019794702529907,0.008780524251051247
bge_small,raw,0.5581479966640472,0.6202065795660019,0.6597264260053635,0.7063781842589378,3.0019793808460236,0.008780523901805282
biobert,centered,0.18141093011945486,0.4146713875234127,0.5317174457013607,0.6456069573760033,4.143800854682922,0.028509332099929452
biobert,l2norm,0.9028032273054123,0.93753682076931,0.9513568952679634,0.9639360681176186,0.7239767089486122,0.0016015612054616213
biobert,raw,0.8983220383524895,0.9356306344270706,0.9501571208238602,0.9632289856672287,0.7470361888408661,0.001619019196368754
legal_bert,centered,0.14450727868825197,0.36709679663181305,0.48484525829553604,0.6013662666082382,4.395753026008606,0.03382118116132915
legal_bert,l2norm,0.9129272103309631,0.940467432141304,0.9525652527809143,0.9637816846370697,0.6799160726368427,0.0015642916841898113
legal_bert,raw,0.9109264388680458,0.9396535009145737,0.9519857838749886,0.963378332555294,0.6912260353565216,0.0015715537301730365
minilm,centered,0.04497364512644708,0.15757531486451626,0.24373791925609112,0.35480954870581627,5.1249531507492065,0.2514097262173891
minilm,l2norm,0.14023377187550068,0.252030810341239,0.3310882169753313,0.4306599386036396,4.779780030250549,0.15081203181762248
minilm,raw,0.14023377932608128,0.2520308122038841,0.33108823373913765,0.4306599386036396,4.779779940843582,0.15081203950103372
pubmedbert,centered,0.15245393477380276,0.39747609943151474,0.5148265846073627,0.6314920410513878,4.246176898479462,0.030659350682981312
pubmedbert,l2norm,0.9833631440997124,0.9892028868198395,0.9915504455566406,0.9937017187476158,0.15486893523484468,0.0013466263480950147
pubmedbert,raw,0.9832309260964394,0.9891225546598434,0.9914875626564026,0.9936551749706268,0.1559047782793641,0.0013469935220200568
