model,domain,raw_top10,raw_PR_norm,centered_top10,centered_PR_norm,l2norm_top10,l2norm_PR_norm,raw_minus_centered_top10
bert_base,ArXiv,0.9445688724517822,0.00171262479852885,0.5871264338493347,0.01689104177057743,0.9451119899749756,0.0017025995766744018,0.3574424386024475
bert_base,FreeLaw,0.9488028287887573,0.0017247720388695598,0.6280291080474854,0.014442022889852524,0.9495626091957092,0.0016887100646272302,0.320773720741272
bert_base,Github,0.8983004093170166,0.002095604781061411,0.5481981039047241,0.03144821152091026,0.9035231471061707,0.002016213955357671,0.3501023054122925
bert_base,Pile-CC,0.8520262241363525,0.002141543896868825,0.35135170817375183,0.07188523560762405,0.8553824424743652,0.0021152154076844454,0.5006745159626007
bert_base,PubMed_Central,0.9289478659629822,0.0018001677235588431,0.5474206805229187,0.02618901990354061,0.9313192367553711,0.001775778946466744,0.3815271854400635
bert_base,StackExchange,0.9175028204917908,0.0019032867858186364,0.5480838418006897,0.02425294928252697,0.9183588027954102,0.0018720616353675723,0.3694189786911011
bert_base,USPTO_Backgrounds,0.914258599281311,0.0018270914442837238,0.47477826476097107,0.03994804993271828,0.9150698184967041,0.001820485689677298,0.43948033452033997
bert_base,Wikipedia_en,0.7769901752471924,0.00276059377938509,0.3083972632884979,0.07654660940170288,0.7834156155586243,0.0026798387989401817,0.46859291195869446
bge_large,ArXiv,0.7429356575012207,0.002521602902561426,0.33745670318603516,0.05065948888659477,0.7429356575012207,0.002521602902561426,0.40547895431518555
bge_large,FreeLaw,0.6864678263664246,0.002551677403971553,0.19066797196865082,0.13192015886306763,0.6864678263664246,0.002551677171140909,0.49579985439777374
bge_large,Github,0.6801021695137024,0.0027695351745933294,0.2280539870262146,0.10721100121736526,0.6801021695137024,0.0027695351745933294,0.4520481824874878
bge_large,Pile-CC,0.5122766494750977,0.005612462759017944,0.17985527217388153,0.15515504777431488,0.5122766494750977,0.005612462759017944,0.3324213773012161
bge_large,PubMed_Central,0.6854705810546875,0.002851530909538269,0.2572586238384247,0.09118206053972244,0.6854705810546875,0.002851530909538269,0.4282119572162628
bge_large,StackExchange,0.5595768094062805,0.00456469738855958,0.19739240407943726,0.13408562541007996,0.5595768094062805,0.00456469738855958,0.36218440532684326
bge_large,USPTO_Backgrounds,0.6336374878883362,0.0033078996930271387,0.21339727938175201,0.1214597225189209,0.6336374878883362,0.0033078996930271387,0.42024020850658417
bge_large,Wikipedia_en,0.4980825185775757,0.006214323453605175,0.187739759683609,0.14721783995628357,0.49808260798454285,0.006214322056621313,0.3103427588939667
bge_small,ArXiv,0.7517644166946411,0.006681357976049185,0.35760998725891113,0.12365781515836716,0.7517644166946411,0.006681357976049185,0.39415442943573
