n,d,mode,spectrum_entropy,participation_ratio,normalized_PR,top1_ratio,top5_ratio,top10_ratio,top20_ratio,top50_ratio,model,domain
5000,384,l2norm,5.213233947753906,96.72325134277344,0.25188347697257996,0.061606261879205704,0.14877842366695404,0.21861431002616882,0.3181656301021576,0.5131883025169373,minilm,Pile-CC
5000,384,raw,5.213233947753906,96.72325134277344,0.25188347697257996,0.06160625070333481,0.14877842366695404,0.21861432492733002,0.31816565990448,0.5131882429122925,minilm,Pile-CC
5000,384,centered,5.306360244750977,133.86924743652344,0.348617821931839,0.02839420735836029,0.11008255183696747,0.1810750514268875,0.2844837009906769,0.4886588454246521,minilm,Pile-CC
5000,384,l2norm,5.1477251052856445,100.93675994873047,0.2628561556339264,0.04540492594242096,0.146975576877594,0.22508469223976135,0.3334622085094452,0.5436730980873108,minilm,Wikipedia_en
5000,384,raw,5.147725582122803,100.93675231933594,0.262856125831604,0.04540492966771126,0.1469755917787552,0.22508472204208374,0.33346226811408997,0.5436731576919556,minilm,Wikipedia_en
5000,384,centered,5.188448905944824,113.21517181396484,0.29483118653297424,0.032994095236063004,0.13119849562644958,0.2078791707754135,0.31693485379219055,0.5315294861793518,minilm,Wikipedia_en
2657,384,l2norm,4.716031074523926,32.48257064819336,0.08459002524614334,0.14388863742351532,0.2922531068325043,0.37788471579551697,0.47391477227211,0.6373643279075623,minilm,ArXiv
2657,384,raw,4.716031074523926,32.48257064819336,0.08459002524614334,0.14388863742351532,0.2922531068325043,0.37788471579551697,0.4739147126674652,0.6373643279075623,minilm,ArXiv
2657,384,centered,5.0049662590026855,68.94693756103516,0.17954932153224945,0.06659171730279922,0.20499329268932343,0.29591357707977295,0.4026618003845215,0.586840808391571,minilm,ArXiv
5000,384,l2norm,4.773300647735596,37.16551208496094,0.09678518772125244,0.1299922913312912,0.27435535192489624,0.36138004064559937,0.4636882245540619,0.6321237087249756,minilm,Github
5000,384,raw,4.7733001708984375,37.16551208496094,0.09678518772125244,0.1299922913312912,0.27435532212257385,0.36138004064559937,0.4636881947517395,0.6321236491203308,minilm,Github
5000,384,centered,5.02449893951416,72.07138061523438,0.18768589198589325,0.0650651752948761,0.19387905299663544,0.2867085933685303,0.3983624577522278,0.5870343446731567,minilm,Github
5000,384,l2norm,4.835247993469238,43.5446891784668,0.11339762806892395,0.11790068447589874,0.24569067358970642,0.339509516954422,0.4451800286769867,0.6267019510269165,minilm,PubMed_Central
5000,384,raw,4.83524751663208,43.54469680786133,0.11339765042066574,0.11790068447589874,0.24569067358970642,0.339509516954422,0.4451800286769867,0.6267019510269165,minilm,PubMed_Central
5000,384,centered,5.057433605194092,83.18305969238281,0.21662254631519318,0.04526785388588905,0.1745290458202362,0.27208560705184937,0.38596203923225403,0.5849863886833191,minilm,PubMed_Central
5000,384,l2norm,3.54640531539917,5.25567102432251,0.013686642982065678,0.43184277415275574,0.5133975744247437,0.5686348080635071,0.6375523209571838,0.7615069150924683,minilm,FreeLaw
5000,384,raw,3.546405553817749,5.255668640136719,0.01368663739413023,0.4318428635597229,0.5133976340293884,0.5686349272727966,0.6375523805618286,0.7615070343017578,minilm,FreeLaw
5000,384,centered,5.029523849487305,83.5572738647461,0.21759706735610962,0.048500578850507736,0.17166666686534882,0.2603798508644104,0.3758485019207001,0.5881927013397217,minilm,FreeLaw
5000,384,l2norm,5.250616073608398,115.39999389648438,0.30052080750465393,0.036866333335638046,0.1292700469493866,0.21052952110767365,0.3225323259830475,0.5161752700805664,minilm,StackExchange
5000,384,raw,5.250615119934082,115.40000915527344,0.3005208671092987,0.03686632588505745,0.1292700171470642,0.21052949130535126,0.3225322961807251,0.5161752700805664,minilm,StackExchange
5000,384,centered,5.283841609954834,125.71624755859375,0.3273860514163971,0.02851984091103077,0.11589772999286652,0.19670440256595612,0.3084200918674469,0.5047190189361572,minilm,StackExchange
5000,384,l2norm,4.755680084228516,31.78611183166504,0.08277633041143417,0.15436826646327972,0.2655257284641266,0.3470681309700012,0.45078399777412415,0.6292942762374878,minilm,USPTO_Backgrounds
5000,384,raw,4.755680561065674,31.786115646362305,0.08277634531259537,0.15436825156211853,0.2655257284641266,0.3470681309700012,0.45078396797180176,0.6292942762374878,minilm,USPTO_Backgrounds
5000,384,centered,5.104551792144775,91.7713623046875,0.23898792266845703,0.044455692172050476,0.1583556830883026,0.2491571009159088,0.36580294370651245,0.5701156854629517,minilm,USPTO_Backgrounds
5000,384,l2norm,3.49873948097229,4.34469747543335,0.011314316652715206,0.47747695446014404,0.5341936945915222,0.577305018901825,0.6316319704055786,0.732572615146637,bge_small,Pile-CC
5000,384,raw,3.49873948097229,4.344696998596191,0.011314314790070057,0.4774770140647888,0.534193754196167,0.5773050785064697,0.6316320300102234,0.7325727343559265,bge_small,Pile-CC
5000,384,centered,5.370510101318359,124.67838287353516,0.324683278799057,0.034047696739435196,0.12794825434684753,0.20501123368740082,0.30416861176490784,0.49367767572402954,bge_small,Pile-CC
5000,384,l2norm,3.79764986038208,5.446503639221191,0.01418360322713852,0.4256157875061035,0.48664653301239014,0.5311864018440247,0.5865879058837891,0.689345121383667,bge_small,Wikipedia_en
5000,384,raw,3.79764986038208,5.446503639221191,0.01418360322713852,0.4256157875061035,0.48664653301239014,0.5311864018440247,0.5865879058837891,0.689345121383667,bge_small,Wikipedia_en
5000,384,centered,5.424661159515381,134.25936889648438,0.3496337831020355,0.032271042466163635,0.12602569162845612,0.19583626091480255,0.2883587181568146,0.464025616645813,bge_small,Wikipedia_en
2657,384,l2norm,2.525507926940918,2.565641403198242,0.006681357976049185,0.6219079494476318,0.7127410769462585,0.7517644166946411,0.7904929518699646,0.8499372005462646,bge_small,ArXiv
2657,384,raw,2.525507926940918,2.565641403198242,0.006681357976049185,0.6219079494476318,0.7127410769462585,0.7517644166946411,0.7904929518699646,0.8499372005462646,bge_small,ArXiv
2657,384,centered,4.923616886138916,47.48460006713867,0.12365781515836716,0.08590751886367798,0.2686276435852051,0.35760998725891113,0.45460498332977295,0.6075582504272461,bge_small,ArXiv
5000,384,l2norm,2.6586666107177734,2.58046293258667,0.006719955708831549,0.6213638186454773,0.6731160879135132,0.7075179815292358,0.7495599985122681,0.8197168707847595,bge_small,Github
5000,384,raw,2.6586663722991943,2.58046293258667,0.006719955708831549,0.6213638186454773,0.6731160879135132,0.7075179815292358,0.7495599985122681,0.8197168707847595,bge_small,Github
5000,384,centered,5.269120216369629,99.89129638671875,0.2601335942745209,0.04509414732456207,0.15749134123325348,0.24110852181911469,0.3482758700847626,0.5290860533714294,bge_small,Github
5000,384,l2norm,2.7671890258789062,2.8312737941741943,0.007373108994215727,0.5924718379974365,0.6615392565727234,0.7054593563079834,0.7500322461128235,0.8230355381965637,bge_small,PubMed_Central
5000,384,raw,2.7671890258789062,2.8312737941741943,0.007373108994215727,0.5924718379974365,0.6615392565727234,0.7054592967033386,0.7500322461128235,0.8230355381965637,bge_small,PubMed_Central
5000,384,centered,5.129942893981934,76.01776885986328,0.1979629397392273,0.054564010351896286,0.19906063377857208,0.2919752597808838,0.39593034982681274,0.5705982446670532,bge_small,PubMed_Central
5000,384,l2norm,2.555971145629883,2.389033794403076,0.006221442017704248,0.6461975574493408,0.6864653825759888,0.7127719521522522,0.7470378279685974,0.8123538494110107,bge_small,FreeLaw
5000,384,raw,2.5559706687927246,2.389033794403076,0.006221442017704248,0.6461975574493408,0.6864653825759888,0.7127719521522522,0.7470378279685974,0.8123538494110107,bge_small,FreeLaw
5000,384,centered,5.387901306152344,123.89002990722656,0.32263028621673584,0.041884373873472214,0.1325369030237198,0.20021118223667145,0.29324039816856384,0.47460633516311646,bge_small,FreeLaw
5000,384,l2norm,3.176574945449829,3.556694984436035,0.009262226521968842,0.5281611084938049,0.5912246704101562,0.6346263289451599,0.6889851093292236,0.777417778968811,bge_small,StackExchange
5000,384,raw,3.176575183868408,3.556694507598877,0.009262225590646267,0.5281611680984497,0.591224730014801,0.6346263885498047,0.6889851689338684,0.7774178981781006,bge_small,StackExchange
5000,384,centered,5.2654266357421875,100.40280151367188,0.2614656388759613,0.04159711301326752,0.15649603307247162,0.2409035563468933,0.35058295726776123,0.5331714749336243,bge_small,StackExchange
5000,384,l2norm,3.035536766052246,3.259462356567383,0.008488182909786701,0.5519888401031494,0.6157258152961731,0.6571798920631409,0.7066973447799683,0.7915979027748108,bge_small,USPTO_Backgrounds
5000,384,raw,3.035536527633667,3.259462356567383,0.008488182909786701,0.5519888401031494,0.6157258152961731,0.6571798920631409,0.7066973447799683,0.791597843170166,bge_small,USPTO_Backgrounds
5000,384,centered,5.2410173416137695,95.16915130615234,0.24783633649349213,0.04684954881668091,0.1642511934041977,0.2485877275466919,0.35466721653938293,0.5392228960990906,bge_small,USPTO_Backgrounds
5000,1024,l2norm,4.032842636108398,5.747161865234375,0.005612462759017944,0.4145570695400238,0.47129544615745544,0.5122766494750977,0.5631014704704285,0.6560230255126953,bge_large,Pile-CC
5000,1024,raw,4.032842636108398,5.747161865234375,0.005612462759017944,0.4145570695400238,0.47129544615745544,0.5122766494750977,0.5631014704704285,0.6560229659080505,bge_large,Pile-CC
5000,1024,centered,5.7272796630859375,158.87876892089844,0.15515504777431488,0.03218301758170128,0.11449314653873444,0.17985527217388153,0.26192790269851685,0.417536199092865,bge_large,Pile-CC
5000,1024,l2norm,4.144874572753906,6.363465785980225,0.006214322056621313,0.39343807101249695,0.45468804240226746,0.49808260798454285,0.5485989451408386,0.6405313611030579,bge_large,Wikipedia_en
5000,1024,raw,4.144874572753906,6.363467216491699,0.006214323453605175,0.3934380114078522,0.4546879529953003,0.4980825185775757,0.5485989451408386,0.6405313014984131,bge_large,Wikipedia_en
5000,1024,centered,5.717414855957031,150.75106811523438,0.14721783995628357,0.03663350269198418,0.12216509133577347,0.187739759683609,0.2663634121417999,0.41477108001708984,bge_large,Wikipedia_en
2657,1024,l2norm,2.626991033554077,2.5821213722229004,0.002521602902561426,0.6200874447822571,0.7070229053497314,0.7429356575012207,0.7802585363388062,0.8365671038627625,bge_large,ArXiv
