domain,mode,K,seed,silhouette
FreeLaw,kscan,2,42,0.044115472584962845
FreeLaw,kscan,5,42,0.0194169282913208
FreeLaw,kscan,10,42,0.02150786481797695
FreeLaw,kscan,20,42,0.019992608577013016
FreeLaw,kscan,50,42,0.021557442843914032
FreeLaw,seedscan,5,1,0.0194169282913208
FreeLaw,seedscan,5,2,0.019357232376933098
FreeLaw,seedscan,5,3,0.019357232376933098
FreeLaw,seedscan,5,42,0.0194169282913208
FreeLaw,seedscan,5,100,0.0194169282913208
StackExchange,kscan,2,42,0.019569622352719307
StackExchange,kscan,5,42,0.018138565123081207
StackExchange,kscan,10,42,0.02197352610528469
StackExchange,kscan,20,42,0.02456774190068245
StackExchange,kscan,50,42,0.025784695520997047
StackExchange,seedscan,5,1,0.018230408430099487
StackExchange,seedscan,5,2,0.018283916637301445
StackExchange,seedscan,5,3,0.01814902015030384
StackExchange,seedscan,5,42,0.018138565123081207
StackExchange,seedscan,5,100,0.018171856179833412
PubMed_Central,kscan,2,42,0.03216658532619476
PubMed_Central,kscan,5,42,0.04647485539317131
PubMed_Central,kscan,10,42,0.05307575687766075
PubMed_Central,kscan,20,42,0.0507730096578598
PubMed_Central,kscan,50,42,0.04499749839305878
PubMed_Central,seedscan,5,1,0.04637904092669487
PubMed_Central,seedscan,5,2,0.04640665277838707
PubMed_Central,seedscan,5,3,0.04653596132993698
PubMed_Central,seedscan,5,42,0.04647485539317131
PubMed_Central,seedscan,5,100,0.046409428119659424
